Fe,Si,B,Cu,Nb,Mo,Zr,Al,C,P,Co,V,TA,tA,magnetic saturation (T)
85,2,8,1,0,0,0,0,0,4,0,0,747.8434238,600,1.584763747
85,0,15,0,0,0,0,0,0,0,0,0,613,1200,1.57
85.5,0,1,0.5,0,0,0,0,2,11,0,0,751,600,1.7
84,0,5,1,1,0,0,0,0,9,0,0,653,600,1.648
84,1,5,0,1,0,0,0,0,9,0,0,653,600,1.58
84,0,5,0,1,0,0,0,0,10,0,0,653,600,1.57
84,1,5,0,1,0,0,0,0,9,0,0,713,600,1.69
83.25,0,0,0.75,0,0,0,0,7,9,0,0,743,600,1.639961441
84,0,5,1,1,0,0,0,0,9,0,0,633,600,1.58
81.3,4,13,1.7,0,0,0,0,0,0,0,0,698,3600,1.780079156
84,0,5,0,1,0,0,0,0,10,0,0,673,600,1.62
82.7,0,9,1.3,0,0,0,0,4,3,0,0,705,360,1.78
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,1033,300,1.49
83.5,0,10,0.5,0,0,0,0,6,0,0,0,703,180,1.73
82.7,0,10,1.3,0,0,0,0,6,0,0,0,703,180,1.82
82.7,0,9,1.3,0,0,0,0,4,3,0,0,775,360,1.83
83.7,0,14.8,1.5,0,0,0,0,0,0,0,0,583.3639179,3600,1.672865854
82.25,0,0,0.75,1,0,0,0,7,9,0,0,744,600,1.619676959
83.3,0,9,0.7,0,0,0,0,4,3,0,0,650,360,1.7
83.1,0,9,0.9,0,0,0,0,4,3,0,0,705,360,1.8
85,2,8,1,0,0,0,0,0,4,0,0,702.9582463,600,1.476188926
85.5,0,1,0.5,0,0,0,0,2,11,0,0,604,600,1.59
84,0,10,0,0,0,0,0,6,0,0,0,703,180,1.72
83.3,4,9,0.7,0,0,0,0,0,3,0,0,783,720,1.775
80.8,0,10,1.2,0,0,0,0,0,8,0,0,698,600,1.606432773
86,0,6,1,0,0,7,0,0,0,0,0,770,3600,1.452333136
84.4,0,15,0.6,0,0,0,0,0,0,0,0,613,1200,1.57
82,1,16,1,0,0,0,0,0,0,0,0,653,60,1.65
83.3,0,9,0.7,0,0,0,0,4,3,0,0,773,540,1.86
84.8,0,8,1.2,0,0,0,0,0,6,0,0,648,600,1.769686492
81,4,13,2,0,0,0,0,0,0,0,0,683,3600,1.769525066
81,4,10,1,0,0,0,0,0,4,0,0,743,300,1.718695652
85.5,0,1,0.5,0,0,0,0,2,11,0,0,744,600,1.71
85,2,8,1,0,0,0,0,0,4,0,0,742.8329854,600,1.796552451
85,2,8,1,0,0,0,0,0,4,0,0,712.7703549,600,1.713156231
84,0,10,0,0,0,0,0,6,0,0,0,493,180,1.651
84,1,5,0,1,0,0,0,0,9,0,0,673,600,1.65
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,756,600,1.8
82.9,0,9,1.1,0,0,0,0,4,3,0,0,705,360,1.84
83.3,3,10,0.7,0,0,0,0,0,3,0,0,653,600,1.79
81,2,10,1,0,0,0,0,0,6,0,0,743,300,1.685434783
85.5,0,1,0.5,0,0,0,0,2,11,0,0,644,600,1.6
83.3,4,9,0.7,0,0,0,0,0,3,0,0,783,540,1.775
84.5,0,1,0.5,1,0,0,0,2,11,0,0,777,600,1.66
83.3,0,9,0.7,0,0,0,0,4,3,0,0,773,180,1.85
83,1,15,1,0,0,0,0,0,0,0,0,653,60,1.66
83.3,4,9,0.7,0,0,0,0,0,3,0,0,783,180,1.76
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,843,300,1.5
75.316,8.919,9.91,0.7,0.2,0,0,0,0,4.955,0,0,843,300,1.47
84,0,5,1,1,0,0,0,0,9,0,0,673,600,1.71
84,1,14,1,0,0,0,0,0,0,0,0,653,60,1.69
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,843,300,1.46
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,883,300,1.5
83.7,0,14.8,1.5,0,0,0,0,0,0,0,0,683.5826558,3600,1.776219512
81,4,13,2,0,0,0,0,0,0,0,0,668,3600,1.760026385
84.3,4,8,0.7,0,0,0,0,0,3,0,0,747.7656728,600,1.94
83.3,2,9,0.7,0,0,0,0,2,3,0,0,623,360,1.65
86,0,6,1,0,0,7,0,0,0,0,0,724,3600,0.670407561
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,620,300,1.5
81,4,11,1,0,0,0,0,0,2,0,1,698,900,1.739488117
