Fe,Si,B,Cu,Nb,Mo,Zr,Al,C,P,Co,V,Hf,Y,W,U,Ga,Ge,Gd,Au,Ag,HR,Tx1
83.5,1,9.2,0.8,0,0,0,0,0.5,5,0,0,0,0,0,0,0,0,0,0,0,20,682
83.7,1,9.2,0.6,0,0,0,0,0.5,5,0,0,0,0,0,0,0,0,0,0,0,20,686
83.8,1,9.2,0.5,0,0,0,0,0.5,5,0,0,0,0,0,0,0,0,0,0,0,20,690
83.9,1,9.2,0.4,0,0,0,0,0.5,5,0,0,0,0,0,0,0,0,0,0,0,20,695
84.1,1,9.2,0.2,0,0,0,0,0.5,5,0,0,0,0,0,0,0,0,0,0,0,20,713
84.3,1,9.2,0,0,0,0,0,0.5,5,0,0,0,0,0,0,0,0,0,0,0,20,715
83,3,11,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,679
83,3,11,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,680
83,3,11,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,678
83,3,11,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,678
85,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,660
84,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,677
83,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,691
82,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,704
77,8,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,20,814
61.6,8,10,0,0,0,0,0,0,5,15.4,0,0,0,0,0,0,0,0,0,0,20,808
46.2,8,10,0,0,0,0,0,0,5,30.8,0,0,0,0,0,0,0,0,0,0,20,797
36.75,13.5,9,1,3,0,0,0,0,0,36.75,0,0,0,0,0,0,0,0,0,0,20,756
76.5,0,5,0,1,0,9,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,20,859
68,0,5,0,1,0,9,0,0,0,17,0,0,0,0,0,0,0,0,0,0,20,849
59.5,0,5,0,1,0,9,0,0,0,25.5,0,0,0,0,0,0,0,0,0,0,20,834
51,0,5,0,1,0,9,0,0,0,34,0,0,0,0,0,0,0,0,0,0,20,824
42.5,0,5,0,1,0,9,0,0,0,42.5,0,0,0,0,0,0,0,0,0,0,20,820
34,0,5,0,1,0,9,0,0,0,51,0,0,0,0,0,0,0,0,0,0,20,819
76.5,0,5,0,1,0,0,0,0,0,8.5,0,9,0,0,0,0,0,0,0,0,20,852
68,0,5,0,1,0,0,0,0,0,17,0,9,0,0,0,0,0,0,0,0,20,841
59.5,0,5,0,1,0,0,0,0,0,25.5,0,9,0,0,0,0,0,0,0,0,20,836
51,0,5,0,1,0,0,0,0,0,34,0,9,0,0,0,0,0,0,0,0,20,823
42.5,0,5,0,1,0,0,0,0,0,42.5,0,9,0,0,0,0,0,0,0,0,20,821
34,0,5,0,1,0,0,0,0,0,51,0,9,0,0,0,0,0,0,0,0,20,813
85.5,0,1,0.5,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,20,644
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,20,646
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,20,649
85,0,1,0.5,0.5,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,20,652
84.5,0,1,0.5,1,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,20,656
84,0,1,0.5,1.5,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,20,663
85,1.4,9,0.5,0,0,0,0,0.1,4,0,0,0,0,0,0,0,0,0,0,0,10,663
85,1.4,9,0.5,0,0,0,0,0.1,4,0,0,0,0,0,0,0,0,0,0,0,20,676
85,1.4,9,0.5,0,0,0,0,0.1,4,0,0,0,0,0,0,0,0,0,0,0,30,682
85,1.4,9,0.5,0,0,0,0,0.1,4,0,0,0,0,0,0,0,0,0,0,0,40,685
86,0,13,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,20,637
86,0.25,12.75,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,20,718
86,0.5,12.5,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,20,693
86,0.75,12.25,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,20,637
86,1,12,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,20,636
86,0.25,12.75,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,10,706
86,0.25,12.75,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,20,717
86,0.25,12.75,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,30,723
86,0.25,12.75,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,40,731
86,0.5,12.5,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,10,681
86,0.5,12.5,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,20,691
86,0.5,12.5,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,30,702
86,0.5,12.5,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,40,707
86,0.75,12.25,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,10,639
86,0.75,12.25,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,20,645
86,0.75,12.25,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,30,650
86,0.75,12.25,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,40,660
86,1,12,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,10,642
86,1,12,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,20,651
86,1,12,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,30,657
86,1,12,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,40,665
85,6,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,632
85,4,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,664
85,2,8,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,636
85,0,8,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,633
83,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,693
84,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,680
82,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,721
82,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,726
82,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,30,733
82,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,40,737
84,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,666
84,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,678
84,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,30,684
84,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,40,687
80,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,780
80,0,15,0,4.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,817
80,0,15,0,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,812
80,0,15,0,2.75,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,814
80,0,15,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,790
80,0,15,0,1.25,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,777
83,0,10,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,651
83,0,10,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,646
83,0,10,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,634
84,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,728
83.3,4,12,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,698
83.3,4,8,0.7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,40,669
83.3,4,8,0.7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,40,684
86,0,6,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,775
73.5,13.5,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,720
87,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,812
86,0,6,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,818
86,0,6,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,777
77,0,9,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,10,758.5
79,0,9,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,10,746.9
82,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,738.2
85,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,711.7
88,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,682.1
91,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,588
80.8,0,10,1.2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,40,709
82.8,0,9,1.2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,40,686
84.8,0,8,1.2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,40,663
82,0,10,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,40,745
78,0,10,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,40,786
71,13,9,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,20,792.6
75,13,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,825.7
73.5,17.5,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,775
73.3,17.5,5,1,3,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,776
73.1,17.5,5,1,3,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,770
72.9,17.5,5,1,3,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,765
72.7,17.5,5,1,3,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,764
72.5,17.5,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,760
73.5,13.5,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,887
73.5,13.5,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,778
74.5,13.5,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,847
81,0,10,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,20,713
81,2,10,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,20,688
81,4,10,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,696
81,6,10,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,701
81,8,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,700
73.5,13.5,9,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,10,794
73.5,13.5,9,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,20,797
73.5,13.5,9,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,30,801
73.5,13.5,9,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,40,810
73.5,13.5,9,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,50,819
73.5,15.5,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,782
73.5,15.5,6,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,789
73.5,15.5,5,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,791
73.5,15.5,4,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,798
73.5,15.5,3,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,800
73.5,7.5,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,40,763
73.5,3.5,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,40,721
73.5,0,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,40,712
73.5,13.5,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,756
73.5,13.5,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,768
83.44,3.89,7.92,0.69,0,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,40,685
84.32,3.87,7.59,0,0,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0.05,40,703
83.47,3.89,7.88,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0.71,0,40,709
86,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,768
87,4,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,770
83,2,8,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,40,664
84,2,8,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,40,654
85,2,8,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,40,641
90,0,2,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,791
80,0,12,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,751
87,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,803
87,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,788
84,4,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,671
83.5,4,8,0.5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,657
83.25,4,8,0.75,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,647
83,4,8,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,647
82.75,4,8,1.25,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,641
82.5,4,8,1.5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,624
