Fe,Si,B,Cu,Nb,Mo,Zr,Al,C,P,Co,V,TA,tA,ln(Coercivity (A/m))
81,4,11,1,0,0,0,0,0,2,0,1,698,900,2.320150123
83.3,0,9,0.7,0,0,0,0,4,3,0,0,775,360,2.302585093
83.1,0,9,0.9,0,0,0,0,4,3,0,0,775,360,2.302585093
82.9,0,9,1.1,0,0,0,0,4,3,0,0,775,360,2.302585093
82,1,15,1,0,0,0,0,1,0,0,0,620,160,2.302585093
82,1,14,1,0,0,0,0,2,0,0,0,615,160,2.302585093
81.3,2,15,1.7,0,0,0,0,0,0,0,0,668,3600,2.302585093
85.5,1,7,0.5,0,0,0,0,6,0,0,0,703,90,2.302585093
83,3,11,1,0,0,0,0,0,2,0,0,793,60,2.302585093
84.8,0,8,1.2,0,0,0,0,0,6,0,0,673,600,2.302585093
83.7,0,14.8,1.5,0,0,0,0,0,0,0,0,603.8691444,3600,2.297267344
85,2,8,1,0,0,0,0,0,4,0,0,717.7807933,600,2.296112933
85.5,0,1,0.5,0,0,0,0,2,11,0,0,654,600,2.282382386
84.8,0,8,1.2,0,0,0,0,0,6,0,0,698,600,2.255974059
83.3,1,9,0.7,0,0,0,0,3,3,0,0,623,360,2.251291799
83.7,0,14.8,1.5,0,0,0,0,0,0,0,0,623.8555943,3600,2.233454363
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,646,600,2.2300144
83.3,0,9,0.7,0,0,0,0,4,3,0,0,773,360,2.2300144
82.75,0,0,0.75,0.5,0,0,0,7,9,0,0,743,600,2.22890237
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,650,600,2.219203484
85,1,13,1,0,0,0,0,0,0,0,0,653,60,2.219203484
82.8,0,9,1.2,0,0,0,0,0,7,0,0,648,600,2.218685231
81,0,10,1,0,0,0,0,0,8,0,0,743,300,2.215533884
84.4,0,15,0.6,0,0,0,0,0,0,0,0,593,1200,2.197224577
83,2,10,1,0,0,0,0,0,4,0,0,743,600,2.197224577
85,2,8,1,0,0,0,0,0,4,0,0,722.7912317,600,2.193847432
84,0,8,1,7,0,0,0,0,0,0,0,823,3600,2.186051277
85,2,8,1,0,0,0,0,0,4,0,0,692.7286013,600,2.164279597
83.2,0,0,0.8,0,0,0,0,6,10,0,0,743,120,2.151762203
84,0,8,1,7,0,0,0,0,0,0,0,973,3600,2.151762203
81.3,4,13,1.7,0,0,0,0,0,0,0,0,638,3600,2.129056941
81,4,13,2,0,0,0,0,0,0,0,0,653,3600,2.129056941
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,606,600,2.128231706
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,610,600,2.128231706
75.316,8.919,9.91,0.7,0.2,0,0,0,0,4.955,0,0,883,300,2.104134154
81,4,11,1,0,0,0,0,0,2,0,1,698,600,2.086416338
84,1,5,0,1,0,0,0,0,9,0,0,693,600,2.079441542
83.3,4,8,0.7,0,0,0,0,0,4,0,0,748,600,2.079441542
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,626,600,2.079441542
75.316,8.919,9.91,0.7,0.2,0,0,0,0,4.955,0,0,620,300,2.079441542
83,3,11,1,0,0,0,0,0,2,0,0,813,30,2.079441542
83,1,10,1,0,0,0,0,5,0,0,0,703,180,2.079441542
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,843,300,2.079441542
81.3,4,13,1.7,0,0,0,0,0,0,0,0,683,3600,2.075663664
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,620,300,2.054123734
85,2,8,1,0,0,0,0,0,4,0,0,715.3956835,600,2.036495366
83,0,10,1,0,0,0,0,6,0,0,0,703,180,2.028148247
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,762,600,2.028148247
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,883,300,2.028148247
85,1,9,1,0,0,0,0,0,4,0,0,653,7200,2.028148247
83.7,0,14.8,1.5,0,0,0,0,0,0,0,0,643.5729772,3600,2.026062172
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,655,600,2.014903021
85.4,0,1,0.5,0.1,0,0,0,2,11,0,0,666,600,2.014903021
85,2,8,1,0,0,0,0,0,4,0,0,737.822547,600,2.002824715
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,630,600,2.00148
85,2,8,1,0,0,0,0,0,4,0,0,687.7181628,600,1.983542512
81.3,4,13,1.7,0,0,0,0,0,0,0,0,653,3600,1.982225428
73.5,13.5,9,1,3,0,0,0,0,0,0,0,852.9323308,1800,1.980969172
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,657,600,1.974081026
81.3,4,13,1.7,0,0,0,0,0,0,0,0,668,3600,1.968877109
81.3,4,13,1.7,0,0,0,0,0,0,0,0,668,3600,1.960094784
83.3,4,9,0.7,0,0,0,0,0,3,0,0,783,360,1.960094784
81,4,11,1,0,0,0,0,0,2,0,1,698,60,1.957147842
84,1,5,0,1,0,0,0,0,9,0,0,633,600,1.945910149
83.8,0,15,1.2,0,0,0,0,0,0,0,0,593,1200,1.945910149
85.5,0,1,0.5,0,0,0,0,2,11,0,0,664,600,1.945910149
85.2,0,1,0.5,0.3,0,0,0,2,11,0,0,670,600,1.945910149
82.9,0,9,1.1,0,0,0,0,4,3,0,0,650,360,1.945910149
82,1,14,1,0,0,0,0,2,0,0,0,615,180,1.945910149
83,1,14,1,0,0,0,0,1,0,0,0,600,160,1.945910149
84,1,13,1,0,0,0,0,1,0,0,0,575,160,1.945910149
