Fe,Si,B,Cu,Nb,Mo,Zr,Al,C,P,Co,V,TA,tA,ln(Coercivity (A/m))
73.5,13.5,9,1,3,0,0,0,0,0,0,0,822.9323308,1800,-0.570266789
73.5,13.5,9,1,3,0,0,0,0,0,0,0,853,3600,-0.588607001
73.5,13.5,9,1,3,0,0,0,0,0,0,0,823,3600,-0.634878272
73.5,13.5,9,1,3,0,0,0,0,0,0,0,653,7200,-0.693147181
73.5,13.5,9,1,3,0,0,0,0,0,0,0,813,3600,-0.693147181
73.5,13.5,9,1,3,0,0,0,0,0,0,0,823,3600,-1.049822124
73.5,13.5,9,1,3,0,0,0,0,0,0,0,823,3600,-1.124161834
69.5,13.5,9,1,3,0,0,4,0,0,0,0,793,3600,-1.133311447
71.5,13.5,9,1,3,0,0,2,0,0,0,0,793,3600,-1.136908572
68.5,13.5,9,1,3,0,0,5,0,0,0,0,793,3600,-1.169878594
